Course Name,Timestamp,Rating,Comment
Business Data Analytics & Intelligence with Python,2023-11-16 13:12:13+00:00,3.5,The information provided was good and easy to follow along. I would recommend to anyone interested in the topics as a complete beginner. I was anticipating more intermediate level  approach to the case studies. only wished the case studies were more fleshed out in an end to end way that would be presented to an employer or added to a portfolio . I would take another course from Diego and he responds in Q&A which is appreciated
Business Data Analytics & Intelligence with Python,2023-11-17 04:16:01+00:00,5,Relatively Short but very complete. The instructor is very engaging with the students to resolve issues.
Decision Making with Problem Solving & Critical Thinking,2023-11-21 08:03:47+00:00,5,good
Business Data Analytics & Intelligence with Python,2023-11-21 16:51:42+00:00,5,Your clarity of mind and speech is visible in your training.
Decision Making with Problem Solving & Critical Thinking,2023-11-21 17:26:39+00:00,4,Thanks
Decision Making with Problem Solving & Critical Thinking,2023-11-23 05:45:01+00:00,5,great learning
Decision Making with Problem Solving & Critical Thinking,2023-11-24 13:59:41+00:00,5,very good course
Data Mining for Business Analytics & Data Analysis in Python,2023-11-25 22:22:03+00:00,5,Excellent course. I haven't finished yet but I've learned a lot so far
Econometrics and Statistics for Business in R & Python,2023-11-27 18:29:19+00:00,1,"Lack of details, apparently lector knows nothing about econometric"
Forecasting Models and Time Series for Business in Python,2023-11-28 20:12:54+00:00,5,"Excellent Course-the best of a half dozen time-series/forecasting classes I've taken on Udemy. Facebook Prophet, and the combination with XGBoost especially stand out. I hope Diogo does another course."
Decision Making with Problem Solving & Critical Thinking,2023-12-01 14:13:45+00:00,4,"Yes, the study is a good match for me"
Business Data Analytics & Intelligence with Python,2023-12-03 06:17:25+00:00,5,One of the best courses I've taken on Udemy and I've taken several.
Data Literacy and Business Analytics for Business Leaders,2023-12-04 16:00:32+00:00,5,Excellent course and tips. I’ve recently purchased several courses from this author. He really knows his stuff!!
Data Literacy and Business Analytics for Business Leaders,2023-12-05 06:41:07+00:00,5,YES
Forecasting Models and Time Series for Business in Python,2023-12-07 01:49:05+00:00,5,good so far
Data Literacy and Business Analytics for Business Leaders,2023-12-09 01:18:35+00:00,5,nice
XGBoost for Business: Machine Learning Course in Python & R,2023-12-09 07:14:34+00:00,5,Another excellent course!!
